country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
KOR,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,30.24%
GBR,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,61.64%
GBR,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,48.57%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,62.38%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,51.69%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,66.58%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,56.62%
GBR,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,56.21%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,60.34%
GBR,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,68.63%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,53.94%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,51.06%
GBR,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,47.26%
GBR,Organic,自然流量,Gaming,游戏,Casino,赌场,61.02%
GBR,Organic,自然流量,Gaming,游戏,Casual,休闲,38.50%
GBR,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,51.67%
GBR,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,39.61%
GBR,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,35.94%
GBR,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,28.07%
GBR,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,30.13%
GBR,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,38.19%
GBR,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,62.42%
GBR,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,16.09%
GBR,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,26.24%
GBR,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,25.91%
USA,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,55.97%
USA,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,48.07%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,57.77%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,50.18%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,53.50%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,47.21%
USA,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,57.44%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,40.09%
USA,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,69.58%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,39.82%
USA,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,41.93%
USA,Organic,自然流量,Gaming,游戏,Casino,赌场,48.87%
USA,Organic,自然流量,Gaming,游戏,Casual,休闲,40.09%
USA,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,45.48%
USA,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,44.99%
USA,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,45.83%
USA,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,44.68%
USA,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,33.55%
USA,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,29.34%
USA,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,67.23%
USA,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,22.23%
USA,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,47.59%
USA,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,46.20%
