country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users,,
DEU,payer,non-gaming,Other Consumer,7,70.05,12442,8715,,
USA,payer,non-gaming,On-Demand,2,70,19925,13948,,
KOR,payer,non-gaming,On-Demand,7,69.89,12622,8822,,
CAN,payer,non-gaming,Finance (Financial Health & Banking),2,69.61,204,142,,
USA,payer,Gaming,MidCore,1,69.51,299378,208098,,
BRA,payer,non-gaming,E-Commerce,22,69.49,44829,31150,,
DEU,payer,Gaming,Casino,1,69.44,9395,6524,,
KOR,payer,non-gaming,Other Consumer,3,69.41,13245,9193,,
DEU,payer,non-gaming,Finance (Financial Health & Banking),1,69.12,1700,1175,,
KOR,payer,non-gaming,E-Commerce,5,68.81,6390,4397,,
BRA,payer,non-gaming,E-Commerce,23,68.73,42970,29534,,
BRA,payer,non-gaming,Finance (Financial Health & Banking),3,68.69,16189,11121,,
IDN,non-payer,non-gaming,On-Demand,1,68.66,89501,61451,,
KOR,payer,non-gaming,Travel,2,68.56,21154,14504,,
USA,payer,non-gaming,Finance (Financial Health & Banking),1,68.54,12157,8333,,
FRA,payer,non-gaming,E-Commerce,5,68.43,1473,1008,,
KOR,payer,non-gaming,On-Demand,8,68.42,11854,8111,,
DEU,payer,non-gaming,Travel,6,68.08,1369,932,,
DEU,payer,non-gaming,Entertainment,1,68.06,3676,2502,,
BRA,payer,non-gaming,E-Commerce,24,67.99,41345,28110,,
FRA,payer,non-gaming,Travel,5,67.96,1826,1241,,
IDN,payer,non-gaming,On-Demand,4,67.92,159,108,,
DEU,payer,non-gaming,Other Consumer,8,67.85,11474,7785,,
FRA,payer,Gaming,Other Gaming,1,67.62,311328,210517,,
IDN,payer,non-gaming,Entertainment,2,67.55,13951,9424,,
IDN,payer,non-gaming,Generative AI,1,67.5,40,27,,
KOR,payer,non-gaming,Utility & Productivity,1,67.35,3988,2686,,
DEU,payer,non-gaming,On-Demand,2,67.35,2034,1370,,
USA,payer,non-gaming,Loyalty,1,67.3,320603,215757,,
BRA,payer,non-gaming,E-Commerce,25,67.27,39758,26744,,
KOR,payer,non-gaming,On-Demand,9,67.26,11258,7572,,
AUS,payer,Gaming,Casino,2,67.09,3740,2509,,
BRA,payer,non-gaming,Entertainment,2,67.07,18240,12233,,
AUS,payer,non-gaming,Travel,4,67.03,91,61,,
USA,payer,non-gaming,On-Demand,3,66.98,17952,12025,,
KOR,payer,non-gaming,Finance (Trading & Investing),4,66.97,5768,3863,,
USA,payer,non-gaming,Entertainment,1,66.69,83761,55863,,
