country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,56.62%
GBR,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,56.21%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,60.34%
GBR,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,68.63%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,53.94%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,51.06%
GBR,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,47.26%
GBR,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,61.02%
GBR,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,38.50%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,51.67%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,39.61%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,35.94%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,28.07%
GBR,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,30.13%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,38.19%
GBR,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,62.42%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,16.09%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,26.24%
GBR,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,25.91%
USA,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,55.97%
USA,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,48.07%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,57.77%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,50.18%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,53.50%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,47.21%
USA,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,57.44%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,40.09%
USA,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,69.58%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,39.82%
USA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,41.93%
USA,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,48.87%
USA,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,40.09%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,45.48%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,44.99%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,45.83%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,44.68%
USA,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,33.55%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,29.34%
USA,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,67.23%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,22.23%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,47.59%
USA,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,46.20%
